oa ob oc od	name a	name b	name c	name d	name e	name f	name g	|	min	max	desc
      08 00			mfx2						SEE mfx1			
      0a 00			mfx3						SEE mfx1			
      10 00			midi	1								
         00					rx	pc			0	1		
         01						bank			0	1		
         02						bend			0	1		
         03						key_pressure			0	1		
         04						channel_pressure			0	1		
         05						modulation			0	1		
         06						volume			0	1		
         07						pan			0	1		
         08						expression			0	1		
         09						hold_1			0	1		
         0a					phase_lock				0	1		
         0b					velocity_curve_type				0	4	OFF, 1 .. 4	
      11 00				2					SEE midi.1			
      12 00				3					SEE midi.1			
      13 00				4					SEE midi.1			
      14 00				5					SEE midi.1			
      15 00				6					SEE midi.1			
      16 00				7					SEE midi.1			
      17 00				8					SEE midi.1			
      18 00				9					SEE midi.1			
      19 00				10					SEE midi.1			
      1a 00				11					SEE midi.1			
      1b 00				12					SEE midi.1			
      1c 00				13					SEE midi.1			
      1d 00				14					SEE midi.1			
      1e 00				15					SEE midi.1			
      1f 00				16					SEE midi.1			
      20 00			part	1								
         00					rx_channel				0	15	1 - 16	
         01					rx_switch				0	1		
         02					reserved_1							
         04					patch_bank_msb				0	127		
         05					patch_bank_lsb				0	127		
         06					patch_pc				0	127		
         07					level				0	127		
         08					pan				0	127		
         09					coarse_tune				16	112	-48 .. +48	
         0a					fine_tune				14	114	-50 .. +50	
         0b					mono_poly				0	2	MONO, POLY, PATCH	
         0c					legato				0	2	OFF, ON, PATCH	
         0d					bend_range				0	25	0 .. 24, PATCH	
         0e					portamento_switch				0	2	OFF, ON, PATCH	
         0f					portamento_time				0	128	0 .. 127, PATCH  two nibbles	
         11					cutoff_offset				0	127	-64 .. +63	
         12					resonance_offset				0	127	-64 .. +63	
         13					attack_offset				0	127	-64 .. +63	
         14					release_offset				0	127	-64 .. +63	
         15					octave_shift				61	67	-3 .. +3	
         16					velocity_sens_offset			1	127	-63 .. +63		
         17					reserved_2							
         1b					mute				0	1		
         1c					dry_send				0	127		
         1d					chorus_send				0	127		
         1e					reverb_send				0	127		
         1f					output_assign				0	13	MFX, A, ___, ___, ___, 1, 2, ___, ___, ___, ___, ___, ___	
         20					output_mfx_select				0	2	MFX1, MFX2, MFX3	
         21					decay_offset				0	127	-64 .. +63	
         22					vibrato_rate				0	127	-64 .. +63	
         23					vibrato_depth				0	127	-64 .. +63	
         24					vibrato_delay				0	127	-64 .. +63	
         25					scale	c			0	127	-64 .. +63	
         26						c#			0	127	-64 .. +63	
         27						d			0	127	-64 .. +63	
         28						d#			0	127	-64 .. +63	
         29						e			0	127	-64 .. +63	
         2a						f			0	127	-64 .. +63	
         2b						f#			0	127	-64 .. +63	
         2c						g			0	127	-64 .. +63	
         2d						g#			0	127	-64 .. +63	
         2e						a			0	127	-64 .. +63	
         2f						a#			0	127	-64 .. +63	
         30						b			0	127	-64 .. +63	
      21 00				2					SEE: part.1			
      22 00				3					SEE: part.1			
      23 00				4					SEE: part.1			
      24 00				5					SEE: part.1			
      25 00				6					SEE: part.1			
      26 00				7					SEE: part.1			
      27 00				8					SEE: part.1			
      28 00				9					SEE: part.1			
